,precision,recall,f1-score,support
Ambivalent,0.5460992907801419,0.6111111111111112,0.5767790262172284,126.0
Clear Non-Reply,0.7264957264957265,0.6938775510204082,0.7098121085594989,245.0
Clear Reply,0.5128205128205128,0.46511627906976744,0.4878048780487805,43.0
accuracy,0.644927536231884,0.644927536231884,0.644927536231884,0.644927536231884
macro avg,0.595138510032127,0.5900349804004289,0.5914653376085026,414.0
weighted avg,0.6493991441570842,0.644927536231884,0.6462650571414145,414.0
macro_f1,,,0.5914653376085026,
