,precision,recall,f1-score,support
Clear Reply,0.5645161290322581,0.2777777777777778,0.3723404255319149,126.0
Ambivalent,0.6445783132530121,0.8734693877551021,0.7417677642980935,245.0
Clear Non-Reply,0.6,0.27906976744186046,0.38095238095238093,43.0
accuracy,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957
macro avg,0.6030314807617567,0.4767723109915802,0.4983535235941298,414.0
weighted avg,0.6155814468721075,0.6304347826086957,0.5918573629251367,414.0
macro_f1,,,0.4983535235941298,
