,precision,recall,f1-score,support
Clear Reply,0.4642857142857143,0.5158730158730159,0.48872180451127817,126.0
Ambivalent,0.7164948453608248,0.5673469387755102,0.6332574031890661,245.0
Clear Non-Reply,0.225,0.4186046511627907,0.2926829268292683,43.0
accuracy,0.5362318840579711,0.5362318840579711,0.5362318840579711,0.5362318840579711
macro avg,0.46859351988217973,0.5006082019371056,0.47155404484320423,414.0
weighted avg,0.5886865630758504,0.5362318840579711,0.553894630442997,414.0
macro_f1,,,0.47155404484320423,
