,precision,recall,f1-score,support
Clear Reply,0.5365853658536586,0.3492063492063492,0.4230769230769231,126.0
Ambivalent,0.6538461538461539,0.8326530612244898,0.7324955116696589,245.0
Clear Non-Reply,0.6,0.27906976744186046,0.38095238095238093,43.0
accuracy,0.6280193236714976,0.6280193236714976,0.6280193236714976,0.6280193236714976
macro avg,0.5968105065666042,0.48697639262423315,0.5121749385663209,414.0
weighted avg,0.6125653714731127,0.6280193236714976,0.601811703013795,414.0
macro_f1,,,0.5121749385663209,
