,precision,recall,f1-score,support
Ambivalent,0.4716981132075472,0.23696682464454977,0.31545741324921134,211.0
Clear Reply,0.6217162872154116,0.8700980392156863,0.7252298263534218,408.0
Clear Non-Reply,0.8461538461538461,0.15492957746478872,0.2619047619047619,71.0
accuracy,0.6028985507246377,0.6028985507246377,0.6028985507246377,0.6028985507246377
macro avg,0.646522748858935,0.42066481377500825,0.43419733383579834,690.0
weighted avg,0.598935463982034,0.6028985507246377,0.5522471325261127,690.0
macro_f1,,,0.43419733383579834,
